"yymm","year","month","url","row","good","medida","cantidad","precio","total","id","ym","categoria","ipc","ipc_estimado","precio_real","total_real"
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","35","Gas butano","25 libras",1,247.34619434,247.34619434,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,659.761940875292,659.761940875292
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","36","Luz eléctrica","kwh",100,1.900469,190.0469,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,5.0692395707119,506.92395707119
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","37","Agua","galones",5292,0.015043,79.607556,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,0.0401251327236694,212.342202373658
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","38","Transporte","pasaje",240,2.5,600,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,6.66840602334464,1600.41744560271
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","39","Pantalón largo de tela de jeans (Hombre)","unidad",0.62,178.17919718,110.4711022516,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,475.268492683929,294.666465464036
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","40","Camisa manga corta","unidad",0.66,55.15198029,36.4003069914,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,147.110319026088,97.0928105572183
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","41","Calzoncillos","unidad",1.57,14.6359,22.978363,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,39.0392494868279,61.2916216943198
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","42","Calcetines (Hombre)","par",1.32,14.2448,18.803136,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,37.9960440485359,50.1547781440674
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","43","Zapato de cuero natural","par",0.43,206.50094184,88.7954049912,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,550.812849756879,236.849525395458
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","44","Blusa manga corta","unidad",0.66,43.57163649,28.7572800834,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,116.22134528676,76.7060878892613
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","45","Pantalón largo de tela de jeans (Mujeres)","unidad",0.51,184.75339397,94.2242309247,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,492.804258073165,251.330171617314
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","46","Vestido entero","unidad",0.5,96.43297493,48.216487465,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,257.221692348902,128.610846174451
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","47","Calzones/ Bikinis","unidad",1.23,14.3522,17.653206,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,38.2825187712988,47.0874980886975
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","48","Brassier/sostén","unidad",0.97,17.5494,17.022918,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,46.8106098664338,45.4062915704407
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","49","Sandalias de cuero sintético","par",0.44,117.02699601,51.4918782444,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,312.153410034805,137.347500415314
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","50","Traje completo","unidad",0.5,132.1224725,66.06123625,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,352.418516575274,176.209258287637
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","51","Calzones","unidad",1.43,11.52299997,16.4778899571,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,30.7360169627792,43.9525042567743
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","52","Calcetines (Niños y Niñas)","par",1.39,12.38274779,17.2120194281,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,33.0292759793574,45.9106936113068
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","53","Zapato de cuero sintético","par",0.45,145.16186736,65.322840312,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,387.199308265352,174.239688719408
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","1","Arroz","libra",38,6.66,253.08,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,17.980679505954,683.265821226251
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","2","Frijol","libra",34,17.07,580.38,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,46.0856154904856,1566.91092667651
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","3","Azúcar","libra",30,4.92,147.6,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,13.2830244998939,398.490734996818
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","4","Aceite","litro",7,25.98,181.86,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,70.1408488835862,490.985942185103
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","5","Posta de res","libra",8,33.11,264.88,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,89.3904352015219,715.123481612175
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","6","Posta de cerdo","libra",5,30.23,151.15,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,81.6150062259742,408.075031129871
