"month","year","url","row","bien","medida","cantidad","precio","total"
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","7","Carne de aves","Libra",8,27.43,219.44
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","8","Chuleta de pescado","Libra",9,51.75,465.75
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","9","Leche","Litro",30,19.97,599.1
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","10","Huevos","Docena",7,39.25,274.75
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","11","Queso seco","Libra",9,47.74,429.66
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","12","Tortilla","Libra",57,11.24,640.68
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","13","Pinolillo","Libra",10,20.48,204.8
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","14","Pastas alimenticias","Libra",5,21.28,106.4
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","15","Pan","Libra",27,17.44,470.88
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","16","Tomate de cocinar","Libra",14,14.51,203.14
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","17","Cebolla blanca","Libra",8,15.2,121.6
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","18","Papas","Libra",15,12.65,189.75
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","19","Ayote","Libra",32,6.38,204.16
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","20","Chiltoma","Libra",3,23.99,71.97
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","21","Plátano verde","Libra",16,5.75,92
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","22","Naranja","Libra",46,2.84,130.64
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","23","Repollo","Libra",2,9.17,18.34
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","24","Jabón de lavar ropa","Unidad",12.55,11.87,148.9685
